business_id,categories
LQFWH1AKJlXGmEBlIKsBCw,"['Department Stores', 'Fashion', 'Shopping']"
LO2CjrNL8DXkvm9uALgRjQ,"['Discount Store', 'Shopping']"
usSROUMiAgPcxV3Ym0OxMQ,"['Seafood', 'Restaurants']"
qfL7ZFkxqDZOPIaVVfT3Aw,"[""Women's Clothing"", ""Men's Clothing"", 'Fashion', 'Shopping', ""Children's Clothing""]"
GlYPVYSOVT7zn00Kk_Oz4g,"['Sporting Goods', 'Fashion', 'Shopping', 'Sports Wear']"
WaHXyBwljbKNPmmJZn5j8Q,"['Food', 'Grocery']"
bCw9HKDFLU_PppnNg-nIlw,"['Food', 'Grocery']"
CL3tZqbYT7B5zgewKCS6-Q,"['Burgers', 'Fast Food', 'Restaurants']"
u22QDAON1kk0wjoTliyftw,"['Pizza', 'Restaurants']"
4ykgzzzGEWjMD5lwk1-l9A,"['Sporting Goods', 'Bikes', 'Shopping']"
53Yk2EODWnV9qHQECzeHVQ,"['Pizza', 'Restaurants']"
iBZRphMDFcS2aMbawc1OvA,"['Chinese', 'Restaurants']"
hnHt6EinzC-IX6y3GSF7jw,"['Bakeries', 'Food', 'Desserts']"
LiMXTPwanF3LkkKHklFCjw,"['Event Planning & Services', 'Caterers']"
GJAv1nAfnHuab8oRyr8mXg,"['American (Traditional)', 'Restaurants']"
r8BwdblCW-ZUES37BL0khw,"['Burgers', 'Breakfast & Brunch', 'Diners', 'Restaurants']"
mIiHJkpK8nZvW_45LlhrbA,"['Pizza', 'Restaurants']"
bN3jIkPqbqroQJteJsC2uw,"['Tattoo', 'Piercing', 'Beauty & Spas']"
OZfpG8tDCcIEq8pzgZdyKw,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
OSYHPhvDWMqBRDZblqGiZA,"['Food', 'Grocery']"
8Nm_jcCYtMXYW0ODSHDiXA,"['Japanese', 'Restaurants']"
9tAbTDdYTASHL7EU1e-OWw,"['Food', 'Specialty Food', 'Meat Shops']"
imM-x_nAxVtYGVFJJ4FS3Q,"['Flowers & Gifts', 'Shopping', 'Florists']"
T49ZvBa6mD4xHSmjHe-ArA,"['Pizza', 'Restaurants']"
TpLtXNrNK0FcmSLtNN7rpQ,"['Oil Change Stations', 'Automotive']"
eOv0Dbq2E8sd0CKMAqTImw,"['Pizza', 'Restaurants']"
