business_id,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close
tU-YtoW339PXJmUGSix_AQ,,,,,,,,,,,,,,
6p9TlP2I8S4agxYMNFSDjg,11:00,00:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00
Eu3Iwje0YY8ectr-CxMgqg,,,,,,,,,,,,,,
XhbC5Qj5nBcqcKLPRd8izQ,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
FituZ4jYzRe41ac9uvcHaQ,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
JDDeaNfb0JXD1NbznSIC9g,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,23:30,11:00,23:30
oPX8bpZ3dqviYQuic0Ahqw,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
FiXamVMgMf9U0VqFHDZSEA,08:00,20:00,06:30,21:00,06:30,21:00,06:30,21:00,06:30,21:00,06:30,22:00,07:00,22:00
LG_Dgv7u7P2ASDWU1RAyWQ,,,,,,,,,,,,,,
ISKLP0qxApATxRlUDob6Cg,,,,,,,,,,,,,,
DMy5IG-dNrH4ARk96KngEA,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,09:30,21:00
uLnDFdn011hEroQQMLmxNQ,,,,,,,,,,,,,,
rdATJvFQK4C73NIQ3zoY3w,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
g10zmpUzmMJOOIjj_JJPvg,,,,,,,,,,,,,,
eznh0XjVtv924K-KYx_ilQ,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,01:00,06:00,01:00
LQFWH1AKJlXGmEBlIKsBCw,11:00,20:00,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30
LO2CjrNL8DXkvm9uALgRjQ,,,,,,,,,,,,,,
usSROUMiAgPcxV3Ym0OxMQ,11:00,22:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,00:00,11:30,00:00
qfL7ZFkxqDZOPIaVVfT3Aw,,,,,,,,,,,,,,
GlYPVYSOVT7zn00Kk_Oz4g,10:00,19:00,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30
WaHXyBwljbKNPmmJZn5j8Q,,,,,,,,,,,,,,
bCw9HKDFLU_PppnNg-nIlw,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00
CL3tZqbYT7B5zgewKCS6-Q,,,,,,,,,,,,,,
u22QDAON1kk0wjoTliyftw,,,,,,,,,,,,,,
4ykgzzzGEWjMD5lwk1-l9A,,,,,,,,,,,,,,
53Yk2EODWnV9qHQECzeHVQ,,,,,,,,,,,,,,
iBZRphMDFcS2aMbawc1OvA,,,,,,,,,,,,,,
hnHt6EinzC-IX6y3GSF7jw,,,,,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,15:30
LiMXTPwanF3LkkKHklFCjw,,,11:00,18:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,,
GJAv1nAfnHuab8oRyr8mXg,,,,,,,,,,,,,,
r8BwdblCW-ZUES37BL0khw,07:00,14:00,06:00,14:00,06:00,14:00,06:00,14:00,06:00,14:00,06:00,14:00,07:00,14:00
mIiHJkpK8nZvW_45LlhrbA,,,,,,,,,,,,,,
bN3jIkPqbqroQJteJsC2uw,,,,,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00
OZfpG8tDCcIEq8pzgZdyKw,,,,,,,,,,,,,,
OSYHPhvDWMqBRDZblqGiZA,,,,,,,,,,,,,,
8Nm_jcCYtMXYW0ODSHDiXA,15:00,21:00,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:30,16:30,22:30
9tAbTDdYTASHL7EU1e-OWw,,,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,17:00
imM-x_nAxVtYGVFJJ4FS3Q,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,14:00
T49ZvBa6mD4xHSmjHe-ArA,,,,,,,,,,,,,,
TpLtXNrNK0FcmSLtNN7rpQ,10:00,16:00,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,08:00,17:00
eOv0Dbq2E8sd0CKMAqTImw,,,,,,,,,,,,,,
