business_id,attributes
3ZVKmuK2l7uXPE6lXY4Dbg,{}
QoDa50dc7g62xciFygXB9w,{}
1_lU0-eSWJCRvNGk78Zh9Q,{}
_qopVQ6_Mz6W7-Pmbi56GQ,{}
wJr6kSA5dchdgOdwH6dZ2w,"{'Take-out': True, 'Drive-Thru': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Takes Reservations': False, 'Delivery': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
yXuao0pFz1AxB21vJjDf5w,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 1}"
F04xyOUA2xnUoCiWpx9iJA,{'Accepts Credit Cards': True}
Cdcus0NADzyY3XiJM2O5Sg,{}
fNGIbpazjTRdXgwRY_NIXA,"{'Alcohol': 'full_bar', 'Noise Level': 'average', 'Music': {'dj': False}, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Good For Dancing': False, 'Delivery': False, 'Dogs Allowed': False, 'Coat Check': False, 'Smoking': 'no', 'Accepts Credit Cards': True, 'Take-out': True, 'Price Range': 1, 'Outdoor Seating': False, 'Takes Reservations': False, 'Waiter Service': True, 'Wi-Fi': 'free', 'Caters': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Has TV': True, 'Good For Groups': True}"
b9WZJp5L1RZr4F1nxclOoQ,"{'Alcohol': 'none', 'Noise Level': 'average', 'Has TV': True, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Good for Kids': True, 'Wheelchair Accessible': False, 'Delivery': False, 'Caters': False, 'BYOB': False, 'Corkage': False, 'Accepts Credit Cards': False, 'BYOB/Corkage': 'yes_free', 'Take-out': True, 'Price Range': 1, 'Outdoor Seating': False, 'Takes Reservations': False, 'Waiter Service': True, 'Wi-Fi': 'no', 'Order at Counter': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Good For Groups': False}"
zaXDakTd3RXyOa7sMrUE1g,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}, 'Noise Level': 'average', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
zgy27FSnvwdINfk5cXBIyQ,"{'Accepts Credit Cards': True, 'Wi-Fi': 'free', 'Price Range': 2}"
WETE_LykpcnrC1sFcQ5EGg,"{'Coat Check': False, 'Take-out': True, 'Good For': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Good For Dancing': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Music': {'dj': False, 'background_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': False, 'Good For Groups': True, 'Price Range': 2}"
6o3RK6rTcN3nw-j-r2nQmA,{}
woOVJ0Z2f6XNCDntHA3b_g,{'Accepts Credit Cards': False}
YX_cdwb0A62hdQRBiZJgtQ,{}
rv7CY8G_XibTx82YhuqQRw,"{'Take-out': True, 'Wi-Fi': 'no', 'Alcohol': 'none', 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
e_U_FnpdKVgNb4mUN2cU_Q,{'By Appointment Only': True}
SQ0j7bgSTazkVQlF5AnqyQ,"{'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'quiet', 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Delivery': True, 'Has TV': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 1}"
L0YSY79uzz_FIInvKmvyIw,{}
wqu7ILomIOPSduRwoWp4AQ,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
1u2NauOy8xDj7aFQET680A,{'Good for Kids': True}
P1fJb2WQ1mXoiudj8UE44w,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}"
8QlnAcjGE6dgfKTVoxrPvQ,"{'Take-out': True, 'Wi-Fi': 'no', 'Alcohol': 'none', 'Caters': False, 'Noise Level': 'quiet', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Wheelchair Accessible': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 2}"
t_gan0EXAw8csKIeFyazJw,"{'Take-out': True, 'Noise Level': 'average', 'Delivery': True, 'Has TV': False, 'Outdoor Seating': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good For Groups': True, 'Price Range': 1}"
3gmBc0qN_LtGbZAjTtHWZg,"{'Wi-Fi': 'free', 'Price Range': 2, 'Outdoor Seating': True, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True}"
sZ4uYs99km644ZMR1TO76A,{'Good For Groups': True}
yHTLTr-QN-loO_7XoxS8qg,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
iQLLIdmJSt6LQHSjpZERLA,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
6ilJq_05xRgek_8qUp36-g,"{'Take-out': True, 'Wi-Fi': 'no', 'Drive-Thru': True, 'Good For': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
57HN9fGRar_GckBmgHgemA,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Price Range': 2}"
MKyk4F4HSzHF8v-4cYe3Ww,"{'Alcohol': 'full_bar', 'Noise Level': 'very_loud', 'Music': {'dj': False, 'background_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': False, 'Wheelchair Accessible': True, 'Good For Dancing': True, 'Delivery': False, 'Coat Check': False, 'Smoking': 'no', 'Accepts Credit Cards': True, 'Take-out': False, 'Price Range': 2, 'Happy Hour': True, 'Outdoor Seating': False, 'Takes Reservations': True, 'Waiter Service': True, 'Wi-Fi': 'no', 'Caters': False, 'Good For': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Has TV': False, 'Good For Groups': True}"
0hrB2iwQZ52VZcZWYywXrA,{}
gClSqcwuLsgyZRCzhJc7Dg,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
1qCuOcks5HRv67OHovAVpg,"{'Coat Check': False, 'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Good For Dancing': False, 'Noise Level': 'loud', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'casual': True}, 'Happy Hour': True, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'Has TV': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': False, 'Good For Groups': True, 'Price Range': 2}"
sbW8qHJgzEIH42B0S-3New,"{'Alcohol': 'full_bar', 'Noise Level': 'very_loud', 'Music': {'dj': False}, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Delivery': False, 'Good For Dancing': False, 'BYOB': False, 'Coat Check': True, 'Smoking': 'no', 'Accepts Credit Cards': True, 'BYOB/Corkage': 'yes_free', 'Take-out': True, 'Price Range': 2, 'Corkage': False, 'Happy Hour': True, 'Outdoor Seating': False, 'Takes Reservations': True, 'Waiter Service': True, 'Wi-Fi': 'no', 'Caters': True, 'Good For': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Has TV': True, 'Good For Groups': True}"
CgGT6sr4OCF2BHYngOIqlw,{}
W7ysp8GLCBrs0GXIVwAcBQ,"{'Take-out': True, 'Wi-Fi': 'free', 'Drive-Thru': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Noise Level': 'quiet', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
-taSf0shFSUKy9iCXnySsA,{}
McikHxxEqZ2X0joaRNKlaw,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}"
frIRW4BGhdAWbSsG5ev2ng,{}
tv8cS4aaA1VDaInYgggb6g,"{'Price Range': 2, 'Alcohol': 'full_bar', 'Good For Dancing': False, 'Noise Level': 'very_loud', 'Coat Check': False, 'Has TV': False, 'Happy Hour': False, 'Music': {'dj': False}, 'Outdoor Seating': False, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Smoking': 'no', 'Accepts Credit Cards': True, 'Good For Groups': True, 'Wheelchair Accessible': True}"
eT5Ck7Gg1dBJobca9VFovw,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}"
HwwEfnZKLNOUoqfgcwAgcQ,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}"
EoAY1JSVeJriBzId8lUQwQ,"{'Alcohol': 'full_bar', 'Noise Level': 'loud', 'Music': {'dj': False}, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': False, 'Wheelchair Accessible': True, 'Good For Dancing': False, 'Delivery': False, 'Coat Check': False, 'Smoking': 'outdoor', 'Accepts Credit Cards': True, 'Take-out': True, 'Price Range': 2, 'Happy Hour': True, 'Outdoor Seating': True, 'Takes Reservations': True, 'Waiter Service': True, 'Wi-Fi': 'free', 'Caters': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Has TV': True, 'Good For Groups': True}"
uI0LvTXFACid1308KFO5ew,{'Good for Kids': True}
Y4CcDDyMoDpK7BbpKawWjw,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}"
RxKrw38oyeYszQ6guY5b1A,{}
TfvWSIAMFZ9zI3y2-K6wOA,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 1}"
tU-YtoW339PXJmUGSix_AQ,"{'Coat Check': False, 'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Good For Dancing': False, 'Takes Reservations': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Happy Hour': True, 'Has TV': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Caters': True, 'Price Range': 2}"
6p9TlP2I8S4agxYMNFSDjg,"{'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}"
Eu3Iwje0YY8ectr-CxMgqg,"{'By Appointment Only': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 3}"
XhbC5Qj5nBcqcKLPRd8izQ,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 3}"
FituZ4jYzRe41ac9uvcHaQ,"{'Parking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
JDDeaNfb0JXD1NbznSIC9g,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Caters': False, 'Noise Level': 'loud', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}"
oPX8bpZ3dqviYQuic0Ahqw,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
FiXamVMgMf9U0VqFHDZSEA,"{'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
LG_Dgv7u7P2ASDWU1RAyWQ,{}
ISKLP0qxApATxRlUDob6Cg,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}"
DMy5IG-dNrH4ARk96KngEA,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 3}"
uLnDFdn011hEroQQMLmxNQ,"{'Take-out': True, 'Noise Level': 'loud', 'Takes Reservations': False, 'Delivery': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Outdoor Seating': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Waiter Service': False, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
rdATJvFQK4C73NIQ3zoY3w,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
g10zmpUzmMJOOIjj_JJPvg,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
eznh0XjVtv924K-KYx_ilQ,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
LQFWH1AKJlXGmEBlIKsBCw,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
LO2CjrNL8DXkvm9uALgRjQ,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
usSROUMiAgPcxV3Ym0OxMQ,"{'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 3}"
qfL7ZFkxqDZOPIaVVfT3Aw,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}"
